============================================================
TRAINING SUMMARY
============================================================

Total epochs: 100
Epochs range: 1 - 100

------------------------------------------------------------
TRAIN METRICS (Average)
------------------------------------------------------------
Loss: 0.0127
Dice: 0.8449
IoU:  0.8069

------------------------------------------------------------
VALIDATION METRICS (Average)
------------------------------------------------------------
Loss: 0.0568
Dice: 0.1662
IoU:  0.1332

------------------------------------------------------------
EPOCH BY EPOCH DETAILS
------------------------------------------------------------
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     LR        
------------------------------------------------------------
1        0.3851       0.0011       0.3006       0.0000       1.00e-03  
2        0.1826       0.0750       0.1550       0.0000       1.00e-03  
3        0.1088       0.1000       0.0925       0.4000       1.00e-03  
4        0.0750       0.0250       0.0688       0.0000       1.00e-03  
5        0.0580       0.0250       0.0674       0.5000       1.00e-03  
6        0.0491       0.0528       0.0544       0.5000       1.00e-03  
7        0.0439       0.0000       0.0489       0.5000       1.00e-03  
8        0.0395       0.1127       0.0493       0.5304       1.00e-03  
9        0.0298       0.2634       0.0521       0.1661       1.00e-03  
10       0.0253       0.3595       0.0394       0.5972       1.00e-03  
11       0.0206       0.5412       0.0332       0.2790       1.00e-03  
12       0.0165       0.6361       0.0369       0.3406       1.00e-03  
13       0.0154       0.6059       0.0465       0.0491       1.00e-03  
14       0.0140       0.7048       0.0415       0.2208       1.00e-03  
15       0.0116       0.7138       0.0409       0.1252       1.00e-03  
16       0.0116       0.6536       0.0396       0.1891       1.00e-03  
17       0.0091       0.7922       0.0399       0.6435       1.00e-03  
18       0.0074       0.7913       0.0510       0.1210       1.00e-03  
19       0.0081       0.7671       0.0430       0.2840       1.00e-03  
20       0.0068       0.7663       0.0395       0.1455       1.00e-03  
21       0.0059       0.8546       0.0486       0.1954       1.00e-03  
22       0.0049       0.8456       0.0504       0.0717       5.00e-04  
23       0.0044       0.9184       0.0570       0.0134       5.00e-04  
24       0.0039       0.9300       0.0543       0.0427       5.00e-04  
25       0.0036       0.9281       0.0447       0.1244       5.00e-04  
26       0.0032       0.9372       0.0494       0.1063       5.00e-04  
27       0.0032       0.9438       0.0529       0.0501       5.00e-04  
28       0.0033       0.8965       0.0474       0.1176       5.00e-04  
29       0.0031       0.9347       0.0413       0.1599       5.00e-04  
30       0.0030       0.9019       0.0505       0.1820       5.00e-04  
31       0.0028       0.9287       0.0509       0.1914       5.00e-04  
32       0.0031       0.9329       0.0432       0.1461       5.00e-04  
33       0.0030       0.9261       0.0521       0.2621       2.50e-04  
34       0.0025       0.9009       0.0529       0.2697       2.50e-04  
35       0.0023       0.9533       0.0511       0.2152       2.50e-04  
36       0.0023       0.9609       0.0488       0.1150       2.50e-04  
37       0.0022       0.9361       0.0489       0.1324       2.50e-04  
38       0.0022       0.9527       0.0543       0.2758       2.50e-04  
39       0.0021       0.9389       0.0567       0.2671       2.50e-04  
40       0.0020       0.9469       0.0517       0.2950       2.50e-04  
41       0.0021       0.9621       0.0581       0.1522       2.50e-04  
42       0.0020       0.9127       0.0506       0.1113       2.50e-04  
43       0.0018       0.9567       0.0553       0.0687       2.50e-04  
44       0.0019       0.9445       0.0533       0.2830       1.25e-04  
45       0.0019       0.9401       0.0533       0.0856       1.25e-04  
46       0.0018       0.9733       0.0562       0.2770       1.25e-04  
47       0.0017       0.9408       0.0539       0.0941       1.25e-04  
48       0.0017       0.9694       0.0561       0.2757       1.25e-04  
49       0.0016       0.9720       0.0567       0.0732       1.25e-04  
50       0.0016       0.9479       0.0531       0.1052       1.25e-04  
51       0.0017       0.9397       0.0532       0.1014       1.25e-04  
52       0.0017       0.9663       0.0562       0.2750       1.25e-04  
53       0.0016       0.9612       0.0561       0.2817       1.25e-04  
54       0.0015       0.9753       0.0552       0.2887       1.25e-04  
55       0.0016       0.9676       0.0538       0.0974       6.25e-05  
56       0.0015       0.9729       0.0537       0.0971       6.25e-05  
57       0.0015       0.9755       0.0535       0.0980       6.25e-05  
58       0.0015       0.9583       0.0562       0.0902       6.25e-05  
59       0.0015       0.9655       0.0537       0.1008       6.25e-05  
60       0.0014       0.9484       0.0543       0.0921       6.25e-05  
61       0.0014       0.9693       0.0561       0.0867       6.25e-05  
62       0.0014       0.9683       0.0576       0.2811       6.25e-05  
63       0.0014       0.9748       0.0566       0.2909       6.25e-05  
64       0.0014       0.9747       0.0542       0.1039       6.25e-05  
65       0.0014       0.9752       0.0572       0.2859       6.25e-05  
66       0.0014       0.9492       0.0550       0.0984       3.13e-05  
67       0.0014       0.9491       0.0552       0.0938       3.13e-05  
68       0.0014       0.9789       0.0555       0.0923       3.13e-05  
69       0.0013       0.9752       0.0552       0.0958       3.13e-05  
70       0.0013       0.9515       0.0544       0.1046       3.13e-05  
71       0.0013       0.9772       0.0560       0.0938       3.13e-05  
72       0.0014       0.9648       0.0548       0.0963       3.13e-05  
73       0.0013       0.9768       0.0565       0.2897       3.13e-05  
74       0.0013       0.9552       0.0571       0.0819       3.13e-05  
75       0.0013       0.9777       0.0545       0.1031       3.13e-05  
76       0.0013       0.9766       0.0551       0.0966       3.13e-05  
77       0.0013       0.9756       0.0557       0.0940       1.56e-05  
78       0.0013       0.9742       0.0556       0.0996       1.56e-05  
79       0.0013       0.9766       0.0550       0.1018       1.56e-05  
80       0.0013       0.9767       0.0567       0.0908       1.56e-05  
81       0.0013       0.9772       0.0571       0.0844       1.56e-05  
82       0.0013       0.9780       0.0579       0.1813       1.56e-05  
83       0.0013       0.9744       0.0567       0.0882       1.56e-05  
84       0.0013       0.9755       0.0567       0.0930       1.56e-05  
85       0.0013       0.9682       0.0561       0.0956       1.56e-05  
86       0.0013       0.9768       0.0563       0.0947       1.56e-05  
87       0.0013       0.9783       0.0566       0.0939       1.56e-05  
88       0.0013       0.9752       0.0557       0.0956       7.81e-06  
89       0.0013       0.9696       0.0551       0.0985       7.81e-06  
90       0.0013       0.9784       0.0558       0.0951       7.81e-06  
91       0.0013       0.9749       0.0557       0.1010       7.81e-06  
92       0.0013       0.9787       0.0576       0.1869       7.81e-06  
93       0.0012       0.9755       0.0559       0.0948       7.81e-06  
94       0.0012       0.9602       0.0562       0.0999       7.81e-06  
95       0.0013       0.9786       0.0559       0.0936       7.81e-06  
96       0.0012       0.9659       0.0561       0.0973       7.81e-06  
97       0.0013       0.9793       0.0571       0.0881       7.81e-06  
98       0.0012       0.9789       0.0565       0.0944       7.81e-06  
99       0.0012       0.9648       0.0566       0.0940       3.91e-06  
100      0.0012       0.9791       0.0559       0.0981       3.91e-06  

============================================================
Best Train Dice: 0.9793 at epoch 97
Best Val Dice: 0.6435 at epoch 17
Best Val Loss: 0.0332 at epoch 11
