============================================================
TRAINING SUMMARY
============================================================

Total epochs: 300
Epochs range: 1 - 300

------------------------------------------------------------
TRAIN METRICS (Average)
------------------------------------------------------------
Loss: 0.3012
Dice: 0.5363
IoU:  0.4987

------------------------------------------------------------
VALIDATION METRICS (Average)
------------------------------------------------------------
Loss: 0.4011
Dice: 0.4454
IoU:  0.3945

------------------------------------------------------------
EPOCH BY EPOCH DETAILS
------------------------------------------------------------
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     LR        
------------------------------------------------------------
1        0.6343       0.3001       0.5840       0.5000       1.00e-03  
2        0.5598       0.4000       0.5481       0.5000       1.00e-03  
3        0.5363       0.4500       0.5370       0.5000       1.00e-03  
4        0.5248       0.4750       0.5246       0.5000       1.00e-03  
5        0.5174       0.5000       0.5213       0.5000       1.00e-03  
6        0.5088       0.4589       0.5258       0.0000       1.00e-03  
7        0.5138       0.4111       0.5168       0.5000       1.00e-03  
8        0.5065       0.2391       0.5161       0.0167       1.00e-03  
9        0.5025       0.3945       0.5208       0.5000       1.00e-03  
10       0.5062       0.5000       0.5036       0.5000       1.00e-03  
11       0.4948       0.5000       0.4830       0.5000       1.00e-03  
12       0.4719       0.3502       0.4894       0.0534       1.00e-03  
13       0.4645       0.1333       0.6264       0.0758       1.00e-03  
14       0.4198       0.2968       0.4964       0.1531       1.00e-03  
15       0.4098       0.2453       0.4423       0.2838       1.00e-03  
16       0.4004       0.2578       0.4764       0.1214       1.00e-03  
17       0.3853       0.2824       0.4225       0.3211       1.00e-03  
18       0.3944       0.2583       0.4125       0.3542       1.00e-03  
19       0.3699       0.3040       0.5077       0.0299       1.00e-03  
20       0.3722       0.2985       0.4222       0.3145       1.00e-03  
21       0.3756       0.2923       0.4046       0.3630       1.00e-03  
22       0.3674       0.3116       0.4358       0.2782       1.00e-03  
23       0.3745       0.2842       0.4185       0.3132       1.00e-03  
24       0.3611       0.3345       0.4367       0.2700       1.00e-03  
25       0.3630       0.3080       0.4236       0.2955       1.00e-03  
26       0.3665       0.3286       0.4404       0.2791       1.00e-03  
27       0.3678       0.3332       0.4104       0.3529       5.00e-04  
28       0.3506       0.3349       0.4222       0.3171       5.00e-04  
29       0.3514       0.3327       0.3955       0.3626       5.00e-04  
30       0.3502       0.3340       0.4404       0.2945       5.00e-04  
31       0.3452       0.3417       0.4772       0.1963       5.00e-04  
32       0.3499       0.3311       0.4187       0.3111       5.00e-04  
33       0.3522       0.3255       0.4248       0.3042       5.00e-04  
34       0.3465       0.3403       0.4006       0.3534       5.00e-04  
35       0.3449       0.3424       0.4051       0.3571       2.50e-04  
36       0.3373       0.3532       0.4069       0.3352       2.50e-04  
37       0.3335       0.3614       0.3921       0.3654       2.50e-04  
38       0.3347       0.3589       0.4240       0.3121       2.50e-04  
39       0.3291       0.3699       0.4096       0.3349       2.50e-04  
40       0.3283       0.3717       0.3965       0.4582       2.50e-04  
41       0.3309       0.3670       0.4196       0.3200       2.50e-04  
42       0.3283       0.3696       0.3951       0.3562       2.50e-04  
43       0.3328       0.3873       0.4152       0.3272       1.25e-04  
44       0.3262       0.3734       0.4148       0.3259       1.25e-04  
45       0.3210       0.4099       0.3921       0.3607       1.25e-04  
46       0.3192       0.4124       0.3855       0.3854       1.25e-04  
47       0.3182       0.4402       0.4413       0.2747       1.25e-04  
48       0.3167       0.4431       0.4056       0.3370       1.25e-04  
49       0.3155       0.3939       0.3850       0.3809       1.25e-04  
50       0.3155       0.3944       0.4108       0.3197       1.25e-04  
51       0.3149       0.4453       0.3842       0.3806       1.25e-04  
52       0.3121       0.3998       0.3696       0.5964       1.25e-04  
53       0.3118       0.4499       0.3867       0.3777       1.25e-04  
54       0.3110       0.4275       0.3950       0.3547       1.25e-04  
55       0.3094       0.4779       0.3723       0.5998       1.25e-04  
56       0.3079       0.4558       0.3935       0.3621       1.25e-04  
57       0.3079       0.4559       0.3858       0.4793       1.25e-04  
58       0.3069       0.4820       0.4257       0.3965       6.25e-05  
59       0.3043       0.4870       0.3813       0.4905       6.25e-05  
60       0.3049       0.4607       0.3952       0.4623       6.25e-05  
61       0.3030       0.4639       0.3771       0.5895       6.25e-05  
62       0.3027       0.4642       0.3714       0.5968       6.25e-05  
63       0.3027       0.4647       0.3690       0.5955       6.25e-05  
64       0.3014       0.4672       0.3827       0.5778       6.25e-05  
65       0.3017       0.5163       0.3991       0.4459       6.25e-05  
66       0.3010       0.4671       0.3952       0.5571       6.25e-05  
67       0.2991       0.4960       0.3696       0.5983       6.25e-05  
68       0.2979       0.4980       0.3731       0.5955       6.25e-05  
69       0.2985       0.4983       0.3915       0.5535       3.13e-05  
70       0.2918       0.5132       0.4319       0.3839       3.13e-05  
71       0.2890       0.5195       0.3886       0.4645       3.13e-05  
72       0.2878       0.5703       0.3823       0.4747       3.13e-05  
73       0.2868       0.5468       0.3858       0.4691       3.13e-05  
74       0.2864       0.5727       0.3838       0.5589       3.13e-05  
75       0.2855       0.5739       0.3743       0.4896       1.56e-05  
76       0.2842       0.5762       0.4161       0.4122       1.56e-05  
77       0.2840       0.5763       0.3860       0.4655       1.56e-05  
78       0.2834       0.5772       0.3769       0.5797       1.56e-05  
79       0.2833       0.5774       0.3731       0.4928       1.56e-05  
80       0.2832       0.5777       0.3888       0.4619       1.56e-05  
81       0.2830       0.5777       0.3997       0.4447       7.81e-06  
82       0.2825       0.5788       0.3909       0.5624       7.81e-06  
83       0.2824       0.5790       0.3870       0.4655       7.81e-06  
84       0.2823       0.5791       0.3920       0.4570       7.81e-06  
85       0.2823       0.5791       0.4412       0.3686       7.81e-06  
86       0.2822       0.5793       0.4217       0.4017       7.81e-06  
87       0.2821       0.5795       0.3860       0.4699       3.91e-06  
88       0.2819       0.5798       0.3774       0.4834       3.91e-06  
89       0.2818       0.5798       0.3793       0.4815       3.91e-06  
90       0.2818       0.5799       0.3729       0.4916       3.91e-06  
91       0.2817       0.5800       0.3853       0.4688       3.91e-06  
92       0.2817       0.5802       0.3829       0.6591       3.91e-06  
93       0.2816       0.5801       0.4032       0.4390       1.95e-06  
94       0.2815       0.5802       0.3956       0.4493       1.95e-06  
95       0.2815       0.5803       0.4028       0.4402       1.95e-06  
96       0.2815       0.5803       0.3783       0.4774       1.95e-06  
97       0.2815       0.5804       0.4100       0.4286       1.95e-06  
98       0.2815       0.5803       0.4147       0.4126       1.95e-06  
99       0.2814       0.5804       0.3968       0.4456       1.00e-06  
100      0.2814       0.5806       0.3774       0.4818       1.00e-06  
101      0.2814       0.5806       0.3825       0.4725       1.00e-06  
102      0.2813       0.5806       0.3804       0.4764       1.00e-06  
103      0.2813       0.5806       0.3790       0.5706       1.00e-06  
104      0.2813       0.5806       0.3832       0.4715       1.00e-06  
105      0.2813       0.5806       0.3765       0.5804       1.00e-06  
106      0.2813       0.5806       0.4072       0.4262       1.00e-06  
107      0.2813       0.5806       0.3948       0.4515       1.00e-06  
108      0.2813       0.5807       0.3730       0.4920       1.00e-06  
109      0.2813       0.5807       0.3849       0.4700       1.00e-06  
110      0.2813       0.5807       0.3732       0.4923       1.00e-06  
111      0.2812       0.5808       0.3838       0.5573       1.00e-06  
112      0.2812       0.5808       0.4004       0.4412       1.00e-06  
113      0.2812       0.5808       0.3814       0.4761       1.00e-06  
114      0.2812       0.5808       0.3742       0.4870       1.00e-06  
115      0.2812       0.5808       0.3930       0.4536       1.00e-06  
116      0.2812       0.5808       0.3879       0.5402       1.00e-06  
117      0.2812       0.5808       0.4061       0.4300       1.00e-06  
118      0.2812       0.5808       0.3787       0.4810       1.00e-06  
119      0.2811       0.5809       0.3868       0.4651       1.00e-06  
120      0.2811       0.5809       0.4077       0.4246       1.00e-06  
121      0.2811       0.5809       0.4280       0.3906       1.00e-06  
122      0.2811       0.5809       0.3969       0.4490       1.00e-06  
123      0.2811       0.5810       0.4047       0.4312       1.00e-06  
124      0.2811       0.5810       0.3927       0.4534       1.00e-06  
125      0.2811       0.5810       0.3948       0.4526       1.00e-06  
126      0.2811       0.5810       0.3871       0.4643       1.00e-06  
127      0.2810       0.5811       0.3824       0.4737       1.00e-06  
128      0.2810       0.5811       0.4144       0.4187       1.00e-06  
129      0.2810       0.5811       0.4063       0.4316       1.00e-06  
130      0.2810       0.5811       0.3737       0.4880       1.00e-06  
131      0.2810       0.5811       0.3907       0.4578       1.00e-06  
132      0.2810       0.5812       0.3765       0.4830       1.00e-06  
133      0.2810       0.5812       0.3809       0.4755       1.00e-06  
134      0.2810       0.5812       0.3949       0.4532       1.00e-06  
135      0.2809       0.5812       0.3816       0.5742       1.00e-06  
136      0.2809       0.5812       0.3797       0.4777       1.00e-06  
137      0.2809       0.5813       0.3789       0.5729       1.00e-06  
138      0.2809       0.5813       0.4136       0.4230       1.00e-06  
139      0.2809       0.5813       0.4079       0.4261       1.00e-06  
140      0.2809       0.5813       0.3747       0.4846       1.00e-06  
141      0.2809       0.5813       0.3826       0.4730       1.00e-06  
142      0.2809       0.5814       0.3931       0.4556       1.00e-06  
143      0.2808       0.5814       0.3805       0.4772       1.00e-06  
144      0.2808       0.5814       0.3852       0.4676       1.00e-06  
145      0.2808       0.5814       0.4050       0.4363       1.00e-06  
146      0.2808       0.5814       0.3968       0.4481       1.00e-06  
147      0.2808       0.5814       0.3977       0.4459       1.00e-06  
148      0.2808       0.5815       0.4119       0.4246       1.00e-06  
149      0.2808       0.5815       0.3982       0.4442       1.00e-06  
150      0.2807       0.5815       0.3729       0.4928       1.00e-06  
151      0.2807       0.5815       0.3963       0.4488       1.00e-06  
152      0.2807       0.5816       0.3782       0.4795       1.00e-06  
153      0.2807       0.5816       0.3919       0.4591       1.00e-06  
154      0.2807       0.5816       0.3901       0.4614       1.00e-06  
155      0.2807       0.5816       0.3982       0.4471       1.00e-06  
156      0.2807       0.5816       0.3760       0.4866       1.00e-06  
157      0.2807       0.5816       0.4196       0.4059       1.00e-06  
158      0.2806       0.5817       0.3781       0.4809       1.00e-06  
159      0.2806       0.5816       0.4015       0.4391       1.00e-06  
160      0.2806       0.5817       0.3735       0.5861       1.00e-06  
161      0.2806       0.5817       0.3852       0.4666       1.00e-06  
162      0.2806       0.5818       0.3740       0.4875       1.00e-06  
163      0.2806       0.5818       0.3835       0.5584       1.00e-06  
164      0.2806       0.5818       0.4149       0.4158       1.00e-06  
165      0.2805       0.5818       0.3845       0.4676       1.00e-06  
166      0.2805       0.5818       0.3793       0.4796       1.00e-06  
167      0.2805       0.5818       0.3845       0.4701       1.00e-06  
168      0.2805       0.5819       0.3739       0.4888       1.00e-06  
169      0.2805       0.5819       0.3787       0.4791       1.00e-06  
170      0.2805       0.5819       0.3743       0.4864       1.00e-06  
171      0.2805       0.5819       0.3770       0.4845       1.00e-06  
172      0.2805       0.5820       0.4120       0.4257       1.00e-06  
173      0.2805       0.5819       0.4113       0.4201       1.00e-06  
174      0.2805       0.5819       0.3943       0.4531       1.00e-06  
175      0.2804       0.5820       0.3909       0.4583       1.00e-06  
176      0.2804       0.5820       0.3917       0.4599       1.00e-06  
177      0.2804       0.5820       0.3871       0.5454       1.00e-06  
178      0.2804       0.5821       0.4105       0.4250       1.00e-06  
179      0.2804       0.5821       0.3913       0.4584       1.00e-06  
180      0.2804       0.5821       0.3917       0.4572       1.00e-06  
181      0.2804       0.5821       0.3994       0.4448       1.00e-06  
182      0.2803       0.5821       0.3768       0.4827       1.00e-06  
183      0.2803       0.5822       0.4170       0.4115       1.00e-06  
184      0.2803       0.5821       0.3795       0.4798       1.00e-06  
185      0.2803       0.5822       0.3857       0.4662       1.00e-06  
186      0.2803       0.5822       0.4013       0.4413       1.00e-06  
187      0.2803       0.5822       0.4197       0.4064       1.00e-06  
188      0.2803       0.5823       0.3733       0.4869       1.00e-06  
189      0.2802       0.5822       0.3793       0.5724       1.00e-06  
190      0.2802       0.5823       0.4279       0.3910       1.00e-06  
191      0.2802       0.5823       0.3854       0.4688       1.00e-06  
192      0.2802       0.5823       0.3972       0.4472       1.00e-06  
193      0.2802       0.5823       0.3789       0.4792       1.00e-06  
194      0.2802       0.5824       0.3871       0.4648       1.00e-06  
195      0.2802       0.5824       0.3893       0.4625       1.00e-06  
196      0.2801       0.5824       0.4012       0.4433       1.00e-06  
197      0.2801       0.5824       0.3822       0.5639       1.00e-06  
198      0.2801       0.5824       0.3868       0.4654       1.00e-06  
199      0.2801       0.5825       0.4099       0.4235       1.00e-06  
200      0.2801       0.5825       0.3971       0.4470       1.00e-06  
201      0.2801       0.5825       0.3752       0.5811       1.00e-06  
202      0.2801       0.5825       0.3857       0.4666       1.00e-06  
203      0.2801       0.5825       0.3746       0.4849       1.00e-06  
204      0.2801       0.5825       0.4013       0.4420       1.00e-06  
205      0.2800       0.5826       0.4094       0.4302       1.00e-06  
206      0.2800       0.5826       0.3897       0.4590       1.00e-06  
207      0.2800       0.5825       0.3863       0.5459       1.00e-06  
208      0.2800       0.5826       0.4177       0.4159       1.00e-06  
209      0.2800       0.5827       0.4040       0.4409       1.00e-06  
210      0.2800       0.5826       0.4177       0.4162       1.00e-06  
211      0.2800       0.5827       0.4325       0.3842       1.00e-06  
212      0.2799       0.5826       0.4001       0.4444       1.00e-06  
213      0.2799       0.5827       0.3810       0.4769       1.00e-06  
214      0.2799       0.5827       0.4333       0.3847       1.00e-06  
215      0.2799       0.5827       0.3769       0.4824       1.00e-06  
216      0.2799       0.5828       0.3738       0.4902       1.00e-06  
217      0.2799       0.5828       0.3981       0.4493       1.00e-06  
218      0.2799       0.5828       0.3953       0.4516       1.00e-06  
219      0.2799       0.5828       0.3990       0.4463       1.00e-06  
220      0.2799       0.5828       0.3812       0.4751       1.00e-06  
221      0.2798       0.5828       0.3925       0.4545       1.00e-06  
222      0.2798       0.5829       0.3741       0.4865       1.00e-06  
223      0.2798       0.5828       0.4196       0.4043       1.00e-06  
224      0.2798       0.5829       0.3825       0.4733       1.00e-06  
225      0.2798       0.5829       0.3801       0.4786       1.00e-06  
226      0.2798       0.5829       0.4282       0.3927       1.00e-06  
227      0.2798       0.5830       0.4136       0.4195       1.00e-06  
228      0.2798       0.5830       0.4235       0.3961       1.00e-06  
229      0.2797       0.5830       0.3746       0.4845       1.00e-06  
230      0.2797       0.5830       0.3821       0.4737       1.00e-06  
231      0.2797       0.5831       0.3739       0.4902       1.00e-06  
