============================================================
TRAINING SUMMARY
============================================================

Total epochs: 100
Epochs range: 1 - 100

------------------------------------------------------------
TRAIN METRICS (Average)
------------------------------------------------------------
Loss: 0.0081
Dice: 0.8960
IoU:  0.8626

------------------------------------------------------------
VALIDATION METRICS (Average)
------------------------------------------------------------
Loss: 0.0536
Dice: 0.4842
IoU:  0.3951

------------------------------------------------------------
EPOCH BY EPOCH DETAILS
------------------------------------------------------------
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     LR        
------------------------------------------------------------
1        0.2759       0.0236       0.1883       0.2222       1.00e-03  
2        0.1188       0.0222       0.1090       0.2222       1.00e-03  
3        0.0754       0.0000       0.0798       0.1111       1.00e-03  
4        0.0543       0.0000       0.0931       0.2222       1.00e-03  
5        0.0402       0.2210       0.0714       0.2222       1.00e-03  
6        0.0306       0.4030       0.0436       0.3993       1.00e-03  
7        0.0232       0.6138       0.0496       0.3754       1.00e-03  
8        0.0164       0.7526       0.0323       0.4199       1.00e-03  
9        0.0122       0.7880       0.0414       0.4630       1.00e-03  
10       0.0140       0.7392       0.1402       0.2540       1.00e-03  
11       0.0108       0.8017       0.0401       0.3989       1.00e-03  
12       0.0090       0.8178       0.0287       0.5961       1.00e-03  
13       0.0072       0.8544       0.0485       0.1931       1.00e-03  
14       0.0066       0.8836       0.0706       0.0122       1.00e-03  
15       0.0059       0.8752       0.0291       0.5849       1.00e-03  
16       0.0044       0.9157       0.0262       0.6162       1.00e-03  
17       0.0039       0.8762       0.0352       0.5771       1.00e-03  
18       0.0034       0.9213       0.0333       0.6085       1.00e-03  
19       0.0045       0.9035       0.0726       0.1111       1.00e-03  
20       0.0031       0.8984       0.0284       0.6256       1.00e-03  
21       0.0028       0.9464       0.0237       0.6766       1.00e-03  
22       0.0026       0.9496       0.0379       0.6041       1.00e-03  
23       0.0030       0.8807       0.0842       0.3649       1.00e-03  
24       0.0050       0.8644       0.0199       0.6632       1.00e-03  
25       0.0036       0.8525       0.0346       0.5471       1.00e-03  
26       0.0029       0.9179       0.0234       0.6336       1.00e-03  
27       0.0022       0.9338       0.0308       0.6307       1.00e-03  
28       0.0019       0.9589       0.0428       0.6393       1.00e-03  
29       0.0018       0.9594       0.0377       0.6054       1.00e-03  
30       0.0016       0.9675       0.0349       0.6196       1.00e-03  
31       0.0016       0.9526       0.0480       0.5193       1.00e-03  
32       0.0017       0.9414       0.0338       0.6197       1.00e-03  
33       0.0018       0.9546       0.0290       0.6134       1.00e-03  
34       0.0020       0.9147       0.0339       0.6254       1.00e-03  
35       0.0019       0.9309       0.0402       0.5810       5.00e-04  
36       0.0015       0.9367       0.0454       0.5644       5.00e-04  
37       0.0013       0.9703       0.0466       0.5575       5.00e-04  
38       0.0013       0.9685       0.0451       0.5736       5.00e-04  
39       0.0012       0.9596       0.0521       0.5191       5.00e-04  
40       0.0012       0.9702       0.0492       0.5331       5.00e-04  
41       0.0012       0.9716       0.0433       0.5931       5.00e-04  
42       0.0012       0.9500       0.0450       0.5849       5.00e-04  
43       0.0012       0.9529       0.0471       0.5585       5.00e-04  
44       0.0011       0.9745       0.0437       0.5538       5.00e-04  
45       0.0010       0.9723       0.0492       0.5367       5.00e-04  
46       0.0010       0.9753       0.0418       0.5897       2.50e-04  
47       0.0010       0.9738       0.0495       0.5130       2.50e-04  
48       0.0010       0.9774       0.0502       0.5110       2.50e-04  
49       0.0009       0.9768       0.0516       0.5043       2.50e-04  
50       0.0010       0.9778       0.0484       0.5285       2.50e-04  
51       0.0009       0.9733       0.0461       0.5519       2.50e-04  
52       0.0009       0.9546       0.0503       0.5352       2.50e-04  
53       0.0009       0.9767       0.0538       0.5031       2.50e-04  
54       0.0009       0.9763       0.0521       0.4959       2.50e-04  
55       0.0009       0.9787       0.0503       0.5252       2.50e-04  
56       0.0009       0.9543       0.0621       0.4085       2.50e-04  
57       0.0009       0.9765       0.0541       0.4997       1.25e-04  
58       0.0009       0.9771       0.0551       0.4833       1.25e-04  
59       0.0008       0.9807       0.0575       0.4561       1.25e-04  
60       0.0008       0.9796       0.0563       0.4747       1.25e-04  
61       0.0009       0.9551       0.0598       0.4398       1.25e-04  
62       0.0008       0.9797       0.0542       0.4889       1.25e-04  
63       0.0008       0.9788       0.0575       0.4711       1.25e-04  
64       0.0008       0.9597       0.0533       0.4974       1.25e-04  
65       0.0008       0.9562       0.0536       0.4890       1.25e-04  
66       0.0008       0.9807       0.0550       0.4945       1.25e-04  
67       0.0008       0.9806       0.0557       0.4806       1.25e-04  
68       0.0008       0.9590       0.0559       0.4920       6.25e-05  
69       0.0008       0.9811       0.0551       0.4905       6.25e-05  
70       0.0008       0.9754       0.0537       0.5018       6.25e-05  
71       0.0008       0.9804       0.0583       0.4642       6.25e-05  
72       0.0008       0.9810       0.0547       0.4944       6.25e-05  
73       0.0007       0.9807       0.0593       0.4648       6.25e-05  
74       0.0008       0.9812       0.0562       0.4849       6.25e-05  
75       0.0008       0.9779       0.0575       0.4751       6.25e-05  
76       0.0008       0.9806       0.0579       0.4676       6.25e-05  
77       0.0007       0.9799       0.0581       0.4746       6.25e-05  
78       0.0007       0.9593       0.0578       0.4725       6.25e-05  
79       0.0008       0.9811       0.0596       0.4626       3.13e-05  
80       0.0007       0.9826       0.0576       0.4822       3.13e-05  
81       0.0007       0.9813       0.0585       0.4735       3.13e-05  
82       0.0007       0.9843       0.0561       0.4881       3.13e-05  
83       0.0007       0.9823       0.0577       0.4819       3.13e-05  
84       0.0007       0.9832       0.0598       0.4602       3.13e-05  
85       0.0007       0.9812       0.0578       0.4732       3.13e-05  
86       0.0007       0.9819       0.0583       0.4729       3.13e-05  
87       0.0007       0.9824       0.0568       0.4807       3.13e-05  
88       0.0007       0.9803       0.0566       0.4850       3.13e-05  
89       0.0007       0.9828       0.0590       0.4741       3.13e-05  
90       0.0007       0.9837       0.0558       0.4912       1.56e-05  
91       0.0007       0.9778       0.0588       0.4707       1.56e-05  
92       0.0007       0.9806       0.0584       0.4755       1.56e-05  
93       0.0007       0.9834       0.0589       0.4705       1.56e-05  
94       0.0007       0.9828       0.0599       0.4650       1.56e-05  
95       0.0007       0.9823       0.0600       0.4628       1.56e-05  
96       0.0007       0.9816       0.0564       0.4877       1.56e-05  
97       0.0007       0.9791       0.0596       0.4677       1.56e-05  
98       0.0007       0.9815       0.0580       0.4765       1.56e-05  
99       0.0007       0.9812       0.0618       0.4524       1.56e-05  
100      0.0007       0.9813       0.0565       0.4931       1.56e-05  

============================================================
Best Train Dice: 0.9843 at epoch 82
Best Val Dice: 0.6766 at epoch 21
Best Val Loss: 0.0199 at epoch 24
